correct,wrong,comment
Aachen,Aix-La-Chapelle,
ABB,Abb,
Addis Abeba,Addis Ababa,
adhd,Adhd | ADHD,
Aga,AGA,
aids,Aids | AIDS,
aidssjuk,aids-sjuk,
a-kassa,A-kassa,
A-lag,a-lag,
Alfredson,Alfredsson,"Om Hans, Tomas och Daniel (filmregissör) Alfredson"
Alfredsson,Alfredson,Om Daniel (ishockeyspelare) Alfredsson
Allah,allah,
Allenbybron,Allenby Bridge,
alltinget,altinget | Alltinget,
Alzheimers sjukdom,Alzheimer,
alzheimer,Alzheimer,
ampere,Ampere,
amerikaner,amerikanare,
Anatolij,Anatoly,
andra världskriget,Andra världskriget,
angivare eller tjallare,informatör,
angripare,anfallare,
annullera,anullera | annulera,
ansöka om asyl,söka om asyl,
appell,apell,
appellationsdomstol,apellationsdomstol,
Aqaba,Akaba,
Arabförbundet,Arabligan,
Arbil,Arbela | Erbil | Irbil,
armén,Armén,
Asea,ASEA,
Asean,ASEAN,
Assi Domän,AssiDomän,
Astra Zeneca,AstraZeneca,
Aswan,Assuan,
Asyut,Assiut,
Aten,Athen,
australier,australiensare,
australisk,australiensisk,
anhängare av,anhängare till,
på begäran av,på begäran från,
avlägga ed,sväras in,
avvisning,avisning,
domar avkunnas,förkunnas,
ayatolla,aiatolla | ayatollah | aiatollah,
Baalbek,Balabakk,
Baden-Württemberg,Baden-Würtemberg,
Badghis,Bagdhis | Bahgdis | Baghdis,
Bagdad,Baghdad,
Bahrain,Bahrein | Bahrayn,
bajonett,bajonnett,
balett,ballet,
Barbra Streisand,Barbara Streisand,
Basel,Basle,
Bayern,Bavaria,
Bekaa,al-Beqaa | al-Biqa |Beka,
Benghazi,Bengasi | Banghazi,
Benin,Dahomey,
Berlingske Tidende,BT,
bestritt,bestridit,
betygsätta,betygssätta,
bevillningsutskott,beviljningsutskott,
B-film,b-film,
bh eller behå,BH,
biljon,billion,
Bisjkek,Frunze,
bitcoin,Bitcoin,
Björneborg,Pori,
bland annat,bl a,
Bodensjön,Lake of Constance,
Bookerpriset,Booker Prize,
Bordeaux,Bourdeaux,
borgenssumma,borgensumma,
Borgå,Porvoo,
borsjtj,borshch,
bosnienserb,Bosnienserb,
brandbomb,brännbomb,
brasilian,brasilianare,
Braunschweig,Brunswick,
Brega,al-Barryqa | al-Burayqa,
Brygge,Brügge | Brugge | Bruges,
Bryssel,Brussels | Brüssel,
fylla till brädden,fylla till bredden,
Buddha,Budda,
bulgarienturk,Bulgarienturk,
Busan,Pusan,
bushen,buschen,
bärsärkagång,bärsärkargång,
Böhmen,Bohemia,
börsrekord,all time high,
Calcutta,Kalkutta | Kolkata,
cancer,Cancer,
flera cappuccino,cappuccinos,
cd,CD,
cd-rom,CD-rom | CD-ROM,
Centerpartiet,centerpartiet,
Centern,centern,
centerpartist,Centerpartist,
Centralafrikanska republiken,den Centralafrikanska republiken,
Chabarovsk,Khabarovsk,
Chisinau,Kisjinjov,
covid-19,Covid-19 | Covid 19,
Creutzfeldt-Jakobs sjukdom (CJS),,
C-vitamin,c-vitamin,
C-uppsats,c-uppsats,
cyberrymden,cyberspace,
Daegu,Taegu,
dagordning,agenda,
Dagö,Hiiumaa,
Damaskus,Damascus,
Dar es Salaam,Dar-es-Salaam,
dataprognos,dataprojektion,
Datsiuk,Datsjuk,
dedicera,dedikera,
Delhi,Dehli,
det vill säga,d v s,
Dhahran,Dharan,
Dhaka,Dacca,
Diaoyu,Diauyou,
diesel,Diesel,
dieselmotor,Dieselmotor,
djävulen,Djävulen,
Dnepr,Dnjepr | Dnipro,
Dnjestr,Djnestr,
Doha,ad-Dawhah | al-Dawhah,
flera dollar,dollars,
Downs syndrom,downs syndrom,
dräktig,gravid,"Djur är dräktiga, människor gravida."
Dunkerque,Dunkirk,
dvd,DVD,
East End,East end,
Ebay,eBay,
ebolavirus,Ebolavirus,
ecuadoriansk,ecuadoransk,
ehec,Ehec,
efterlysa,lysa,Undvik polischargong
Ekenäs,Tammisaari,
El Alamein,al-Alamayn,
eldupphör,eld upphör,Ett eldupphör är ett substantiv
enastående,outstanding,"Alternativt, i en klass för sig"
e-post,e-mail,
mejl,mail,
eriksgata,Eriksgata,
Esbo,Espoo,
Estland,Estonia,
EU:s,EUs,
falukorv,Falukorv,
farhågor för,farhågor om,
besluta,ta beslut,"Alternativt, fatta beslut"
Felixstowe,Felixtowe,
Fi,FI,
Fiji,Fidji,
fly,rymma,"Vi flyr nödsituationer, rymmer från plats"
rymma,fly,"Vi rymmer från en plats, flyr nödsituationer"
finansdepartementet,Finansdepartementet,
finansutskottet,Finansutskottet,
finlandssvensk,Finlandssvensk,
flottan,Flottan,
flygangrepp,luftangrepp,
flyget,Flyget,
flyktingvåg,flyktvåg,
FN:s,FNs,
folketinget,Folketinget,
Folkets Dagblad,Folkets dagblad,
folkrätt,internationell lag,
formgivning,design,
Fredrikshamn,Hamina,
frilans,free lance,
frysta tillgångar,frusna,
fånge eller intern,intagen,
fängelse,kriminalvårdsanstalt,
färing,färöing,
följaktligen,följdaktligen,
ta det säkra för det osäkra,före,
Swedbank,FöreningsSparbanken | Föreningssparbanken,
Förintelsen,förintelsen,
förklara krig mot,förklara kring med,
förlora mot,förlora till,
förslag till reformer,förslag på reformer,
förstamajfirande,Förstamajfirande | 1 maj-firande,
första världskriget,Första världskriget,
försvaret,Försvaret,
Muammar Gaddafi,{Mohammar|Mohammer|Muammar|Muhammar|Muhammer} {Gadaffi|Ghadaffi|Ghadafi|Kadhaffi|Kadhafi|Khadaffi},
galna ko-sjukan,galnakosjukan | galna-kosjukan,
gangstrar,gangsters,
Gardermoen,Gardemoen,
Gatt,GATT,
Paul Gauguin,Paul Gaugain,
Gdansk,Danzig,
getto,ghetto,
Gorazde,Goradze,
gotlandssnipa,Gotlandssnipa,
grindval,pilotval,
Groznyj,Grozny,
Guantánamo,Guantanamo,
Guantanamo Bay,Guantánamo Bay,
Carl XVI Gustaf,Carl XVI Gustav,
Gustaf V,Gustav,
Gwangju,Kwangju,
Gyeongju,Kyongju,
gödseln,gödslet,
göteborgare,Göteborgare,
Göteborgsbo,göteborgsbo,
Göteborgsoperan,GöteborgsOperan,
Dag Hammarskjöld,Hammarsköld,
Hanaholmen,Hanasaari,
Hangö,Hanko,
Havanna,Havana,
Hells Angels,Hell’s Angels,
Helsingfors,Helsinki,
Helsingör,Elsinore,
Herculesplan,Herkulesplan,
hertz,Hertz,
hinder för fred,hinder mot fred,
hiv,Hiv | HIV,
hivsmittad,hiv-smittad,
hjärt-kärlsjukdom,hjärtkärl-sjukdom,
Hongkong,Hong Kong | Xianggang,
Hongkongbor,hongkongbor,
hudud,hudood,
Hyvinge,Hyvinkää,
höjdpunkter,highlights,
i dag,idag,
id al-fitr,Id al-Fitr,
Ikea,IKEA,
i kväll,ikväll,
i morgon,imorgon,
Incheon,Inchon,
Ingusjien,Ingusjetien,
initiativ,intiativ,
hålla sig inomhus,inom hus,
Inre Mongoliet,Nei Menggu Zizhiqu,
Internationella rödakorskommittén,ICRC,
Internationella domstolen i Haag,den internationella domstolen,
Internationella valfångstkommissionen,valfångstkommissionen,
internet,Internet,
Iphone,iPhone,
isbjörn,polarbjörn,
Islamiska konferensen,Islamiska konferensorganisationen,
i stället,istället,
isär,i sär,
it,It,
it,IT,
Izz al-Din al-Qassam,Izzedine al-Kassam,
Jakarta,Djakarta,
Jakobstad,Pietarsaari,
Jane’s,Janes,
Viktor Janukovytj,Janukovitj,
Jas,JAS,
Jeju,Cheju,
Jemen,Yemen,
Jeriko,Jericho,
Jidda,Jiddah | Jedda | Djedda,
jiddisch,jiddish,
jubileum,jubiléum,Accent på é i alla komparationer
jumbojet,jumbojätte,
jr,Jr,
Jylland,Jutland,
nätt och jämnt,jämt,
Kairo,Cairo,
kalasjnikov,Kalashnikov,
Kalmarbo,kalmarbo,
kalmarit,Kalmarit,
Kanton,Guangzhou,
Kaohsiung,Gaoxiong,
Karen Blixen,Karin,
Karleby,Kokkola,
Karlovy Vary,Karlsbad,
Karolinska institutet,Karolinska Institutet,
kat,qat | khat,
Katmandu,Kathmandu,
Kaukasus,Kaukasien,Om regionen
Kaukasien,Kaukasus,Om bergskedjan
Kaurismäki,Kaurismaaki,
Kazakstan,Kasachstan | Kazachstan,
Khan Yunis,Khan {Younis|Yunes},
Khartum,Khartoum,
Kiev,Kyiv | Kijev | Kjev,
Kim Jong-Il,Kim Jong-il | Kim Jong Il,
Kim Jong-Un,Kim Jong-un | Kim Jong Un,
Klytjko,Klitjko,
klädstreck,klädsträck,
knesset,Knesset,
kollision,kollission,
konfrontation med,konfrontation mot,
konservativa beräkningar,försiktiga beräkningar | lågt räknat,
kosovoalban,Kosovoalban,
korrugerad plåt,korrigerad,
kpist,k-pist,
kraftigt beväpnad,tungt beväpnad,Polis är sällan eller aldrig tungt beväpnad. Tunga vapen är expempelvis kanoner.
kraftig beväpning,tung beväpning,"Tunga vapen är kanoner, exempelvis. Has av militär styrka, inte polis."
Krim,Krym,
Kristi himmelsfärdsdag,kristi himmelsfärdsdag,
Kristinestad,Kristiinankaupunki,
Kristofer Columbus,Christopher,
krockkudde,airbag,
kroppar,bodies | lik | kvarlevor | omkomna,
Kuito,Cuito,
Ku Klux Klan,Ku klux klan,
kullkasta planer,omkullkasta planer,
kulspruta,maskingevär,
kulturutskottet,Kulturutskottet,
Kuwait,Kuweit | Quweit | Quwayt,
Kuwaitkriget,Gulfkriget | Vikenkriget,"Kuwaitkriget, alternativt kriget vid Persiska viken."
kriget vid Persiska viken,Gulfkriget | Vikenkriget,"Kuwaitkriget, alternativt kriget vid Persiska viken."
kämpaglöd,kämparglöd,
mest känd,kändast,
känsloladdat tal,känslomättat tal,
Kärnten,Carinthia,
flera kärnvapenprov,kärnvapenprover,
Köln,Cologne,
Lahtis,Lahti,
lamning,lammning,
las,LAS,
lavin,snölavin,
Litauen,Lithuania,
Livorno,Leghorn,
LKAB,Lkab,
lojal mot,lojal med,
Londonbo,londonbo,
Lyon,Lyons,
Stefan Löfven,Stefan Löfvén,Löfven utan accent.
Macao,Macau,
undersökning med magnetkamera,magnetröntgen,
mahatma Gandhi,Mahatma Gandhi,
Mainz,Mayence,
Malmöbo,malmöbo,
malmöit,Malmöit,
Falklandsöarna,Malvinas,Alternativt Malvinerna.
Manila,Manilla,
Mao Zedong,Mao Tse-tung,
Marathon,Maraton,
maraton,marathon,"Om fenomen som inte är loppet, staden."
marinen,Marinen,
Marjayun,Marjayoun | Marjajun,
Marrakesh,Marrakech | Marakech,
Marseille,Marseilles,
Masqat,Musqat | Muscat | Muskat,
matberedare,food processor,
Matextra,MatXtra,
mbl,MBL,
McDonald’s,McDonalds,
Mecka,Mekka | Mekkah,
med flera,m fl,
svenska medier,svensk media,
medicin,medecin,
medlemskap,medlemsskap,
medlemsstat,medlemstat,
mejl,mail,
mejla,maila,
meningsskiljaktighet,meningsskiljaktlighet,
Mexico City,Mexiko City,
Mexiko,Mexico,
Milano,Milan,
Misrata,Misurata,
mittemellan,mitt-i-mellan,
Modo,MoDo | MODO,
Moody’s,Moodys,
Mosul,al-Musil | al-Mawsil,
ms,MS,
mulla,mullah,
museijärnväg,museumjärnväg,
museum,muséum,Alla varianter av museum saknar accent.
museet,muséet,Alla varianter av museum saknar accent.
museer,muséer,Alla varianter av museum saknar accent.
München,Munich,
människorättsorganisation,Medborgarrättsorganisation,
Mähren,Moravia,
Nablus,Nablis | Nabulus,
Nagorno–Karabach,Nagorno Karabach,
Nanjing,Nanking,
Naqura,Nakoura | Naqoura,
Nato,NATO,
Natos,Nato:s,
nederländska,flamländska,
New Delhi,New Dehli,
N’Djamena,Ndjamena,
Niedersachsen,Nieder-Sachsen,
La Niña,La Nina,
El Niño,El Nino,
,vinner Nobelpriset,Nobelpris fås eller tilldelas
Nobelpristagare,Nobelprisvinnare,
noggrant,noggrannt,
Nordea,Nordbanken,
Nya Kina,Xinhua,
nyemission,nyemmission,
Nürnberg,Nüremberg | Nuremberg,
Nyslott,Savonlinna,
nyzeeländsk,nyazeeländsk,
Nådendal,Naantali,
Odensholm,Osmussaar,
Odessa,Odesa,
OECD,Oecd,
en officer,officerare,
okvädingsord,okvädesord,
oljetankrar,oljetankers,
ordförande,ordföranden,Pluralformen av ordförande är ordförande.
ordförande,president,Om styrelsens ordförande i företag.
Ormsö,Vormsi,
Oscar,Oskar | Oscars,
oupplösligt förenad,olösligt,
pansartrupper,bepansrade trupper,
Papua Nya Guinea,Papua-Nya Guinea,
flera paparazzi,paparazzis,
Pargas,Parainen,
parkinson,Parkinson,Alternativt Parkinsons sjukdom
Peking,Beijing,
persontåg,passagerartåg,
Pfalz,Palatinate,
flera piccolor,piccolos,
pisksnärtsskada,whiplashskada,
plastikkirurg,plastkirurg,
plenardebatt,plenumdebatt,
plöja sin jord,ploga sin jord,
polisen,Polisen,
Port Said,Bur Said,
p-piller,P-piller,
p-plats,P-plats,
preliminär,preleminär,
Premier League,Premier league,
pressmeddelande,press release | pressrelease,
prisbelönt,prisad,Alternativt prisbelönad
privilegierad,priviligierad,
procent,proc | %,
flera prov,prover,
sätta punkt för,sätta punkt på,
Pyongyang,Pjongjang,
Qantas,Quantas,
Qatar,Quatar,
quisling,Quisling,
ramadan,Ramadan,
Rashidiyya,Rashidiya | Rachidiye,
regeringen,Regeringen,
relik,relikt,Relik har religiös betydelse. En kroppsdel eller ett föremål som vördas. Relikt är mer allmänt en kvarleva.
relikt,relik,"En relikt är en kvarleva, gammal praxis. Skilj från relik, som har religiös betydelse."
renommerad,renommérad,
etnisk rensning,etnisk utrensning,
La Repubblica,Republica,
Rhen,Rhine,
Keith Richards,Keith Richard,
riksdagen,Riksdagen,
Riyad,Riad | Riyadh,
Runö,Ruhni,
Rågö,Pakri,
räd,raid,
Röda Korset,Röda korset,
rödakorsmedarbetare,Rödakorsmedarbetare,
röntgen,Röntgen,
röntgenplåt,Röntgenplåt,
Saab,SAAB,
Saddam Hussein,Saddam Hussain,
sade,sa,
Saida,Sidon,
Saint-Germain,S:t Germain,
Saint Louis,S:t Louis,
sambor,sambos,
Samväldet,Brittiska samväldet,
Sanaa,Sana,
San Cristobal,San Christobal,
San Francisco,San Fransisco,
sanddyner,sanddynor,
SAP,Sap,
SAS,Sas,
satan,Satan,
saudier,saudiarabier,
SCA,Sca,
Scandinavian Open,Scandinavian open,
scenarier,scenarios,
schejk,shejk,
schimpans,chimpans,
schlager,schlagers,
Schleswig,Schlesvig,
Schwarzwald,Black Forest,
SEB,S/E/B,
sedermera,sedemera,
sent omsider,sent om sider,
Seoul,Söul,
Sergej,Sergey,
Sharm el-Sheikh,Sharm ash-Shaykh,
Sharpeville,Sharpville,
Sichuan,Szechuan,
Sida,SIDA,
sir,Sir,
Sirte,Sirt,
Själland,Zealand,
självsvåldig,självsvådlig,
ska,skall,
Skagerrak,Skagerack,
skotsk,skottsk,
S-kurva,s-kurva,
skydda mot,skydda för,
ett slags,en slags,
SMHI,Smhi,
snabbmat,fast food,
socialbidrag,sociala bidrag,
socialdemokrat,Socialdemokrat,
Socialdemokraterna,socialdemokraterna,
socialdemokratisk,Socialdemokratisk,
Société Générale,Societe Generale,
en sorts,ett sorts,
Sojuz,Sojus,
spannmålen,spannmålet,
spå,förutspå,
Standard & Poor’s,Standard & Poors,
Statistiska centralbyrån,Statistiska Centralbyrån,
Steiermark,Styria,
stockholmare,Stockholmare,
Stockholm Open,Stockholm open,
Stockholmsbo,stockholmsbo,
Stora Enso,StoraEnso,
S:t Michel,Mikkeli,
S:t Petersburg,St Petersburg | Leningrad,
Strasbourg,Strassburg,
stridsvagn,tank,
studior,studios,
ståndrätt,ståndsrätt,
stängda dörrar,lyckta,Om dörrarna till rättegångssalen.
Sulaymaniyya,Sulaymaniya | Suleimaniya,
supportrar,supporters,
Sveaborg,Suomenlinna,
sverigedemokrat,Sverigedemokrat,
slå rekord,slå nytt rekord | sätta nytt rekord,Alternativt sätta rekord.
Taichung,Taizhong,
Taipei,Taipeh | Taibei,
Tallinn,Reval,
Tammerfors,Tampere,
tankfartyg,tankers,
Tavastehus,Hämeenlinna,
tbc,Tbc | TBC,
TCO,Tco,
terrass,terass,
Thessaloniki,Saloniki,
Tibet,Xizang,
Tigre,Tigray,
förslag till reformer,förslag på reformer,
till och med,tillochmed,
tillrådligt,tillrådigt,
flera tiotal,flera tiotals,
tiotals,10-tals,
Tjetjenien,Chechnya,
T-korsning,t-korsning,
Tobruk,Tubruq,
tornador,tornados,
Transnistrien,Dnestrrepubliken,
en traktat,ett traktat,
3G,3g,
Trier,Treves,
Tripoli,Tripolis | Tarabulus,
soldater,trupper,"Engelska ""troops"" syftar på enskilda soldater."
Trondheim,Trondhjem,
tröskeln,trösklen,
tsunamier,tsunamis,
T-tröja,t-tröja,
tuberkulos,Tuberkulos,
tullen,Tullen,
hutu,Hutu,
tutsi,Tutsi,
tv,TV,
två tredjedelars majoritet,två tredjedels majoritet,
Tyr,Tyrus | Tyre | Tyros | Sur | Sour,
tågsätt,tågset,
Törnrosasömn,törnrosesömn,
ubåt,u-båt,
i-land,iland,"Skrivs med devis: u-land, i-land."
u-land,uland,"Skrivs med devis: u-land, i-land."
Uleåborg,Oulu,
Ullmann,Ullman,Om skådespelerskan Liv Ullmann
undantag från,undantag till,
med undantag av,med undantag för,
underlåta,undlåta,
Unctad,UNCTAD,
UNDP,Undp,
Unicef,UNICEF,
Unrwa,UNRWA,
uppgång,boom,
urtidsdjur,urdjur,
Usama bin Ladin,Osama bin Laden,
USA:s,USAs,
US Open,US open,
U-sväng,u-sväng,
utfrågning,hearing,
utom synhåll,undan synhåll | ur synhåll,
utrikesdepartementet,Utrikesdepartementet,
utrikesnämnden,Utrikesnämnden,
vakuum,vacuum,
vallokal,valstation,
vallokalsenkät,exit poll,
Vasa,Vaasa,
Vasia,Vasja,
Venedig,Venice,
Versailles,Versaille,
vette,vätte ,Om riktning
vetter,vätter,Om riktning
Viagra,viagra,
vichyvatten,Vichyvatten,
videor,videos,
Villmanstrand,Lappeenranta,
Vilnius,Vilna,
vindtygsjacka,windstopper,
Vinnytsia,Vinnytsja | Vinnitsa,
Vlissingen,Flushing,
väntas,förväntas,
värja sig mot,värja sig från,
världscupen,world cup,
väst,Väst,
vätte,vette,Om skogsväsendet. 
Wasa,WASA,
watt,Watt,
webbplats,hemsida,
Orson Welles,Orson Wells,
Wien,Vienna,
Wroclaw,Breslau,
Xinjiang,Sinkiang,
yazidier,yezidier | jezidier | jezider | jesidier | jazider | jesider,
Zaragoza,Saragossa,
Zhou Enlai,Chou En-lai,
Zjirinovskij,Zhirinovsky,
Zjukov,Zhukov,
zuluer,zulus,
zulupartiet,Zulupartiet,
Åbo,Turku,
ålderstigen,åldersstigen,
öppenhjärtig,öppenhjärtlig,
öron-näsa-halsläkare,öronnäsahals-läkare,
Ösel,Saaremaa,
överskrida,överstiga,"Om kvoter, exempelvis."